age;job;marital;education;contact;term_deposit;balance;Cluster_Prediction
56;admin.;married;secondary;unknown;yes;45;0
41;technician;married;secondary;unknown;yes;1270;0
46;management;divorced;secondary;unknown;no;16;0
57;retired;married;secondary;unknown;no;486;0
42;management;single;secondary;unknown;no;50;0
30;technician;married;secondary;unknown;no;152;0
60;admin.;married;secondary;unknown;no;290;0
60;blue-collar;married;unknown;unknown;no;54;0
57;entrepreneur;divorced;secondary;unknown;no;-37;0
36;management;married;tertiary;unknown;no;101;0
55;blue-collar;married;secondary;unknown;no;383;0
60;retired;married;tertiary;unknown;no;81;0
39;technician;married;secondary;unknown;no;0;0
46;management;married;tertiary;unknown;no;229;0
44;blue-collar;married;secondary;unknown;no;-674;0
53;blue-collar;married;primary;unknown;no;90;0
52;blue-collar;married;primary;unknown;no;128;0
59;blue-collar;married;primary;unknown;no;179;0
27;technician;single;tertiary;unknown;no;0;0
44;blue-collar;married;secondary;unknown;no;54;0
47;technician;married;tertiary;unknown;no;151;0
34;admin.;married;secondary;unknown;no;61;0
59;retired;single;secondary;unknown;no;30;0
45;management;married;tertiary;unknown;no;523;0
29;services;divorced;secondary;unknown;no;31;0
46;technician;divorced;secondary;unknown;no;79;0
56;self-employed;married;primary;unknown;no;-34;0
36;blue-collar;married;primary;unknown;no;448;0
59;retired;divorced;primary;unknown;no;81;0
44;blue-collar;married;secondary;unknown;no;144;0
41;admin.;married;secondary;unknown;no;351;0
33;management;single;tertiary;unknown;no;-67;0
59;management;divorced;tertiary;unknown;no;262;0
57;technician;married;primary;unknown;no;0;0
56;technician;divorced;unknown;unknown;no;56;0
51;blue-collar;married;secondary;unknown;no;26;0
34;admin.;married;unknown;unknown;no;3;0
43;services;married;secondary;unknown;no;41;0
52;technician;married;tertiary;unknown;no;7;0
33;technician;single;secondary;unknown;no;105;0
29;admin.;single;secondary;unknown;no;818;0
34;services;married;secondary;unknown;no;-16;0
31;blue-collar;married;secondary;unknown;no;0;0
55;services;married;secondary;unknown;yes;2476;3
55;management;married;unknown;unknown;no;1185;0
32;admin.;single;secondary;unknown;no;217;0
38;technician;single;secondary;unknown;no;1685;0
55;admin.;single;secondary;unknown;no;802;0
28;unemployed;single;tertiary;unknown;no;0;0
23;blue-collar;married;secondary;unknown;no;94;0
32;technician;single;secondary;unknown;no;0;0
43;services;single;unknown;unknown;no;0;0
32;blue-collar;married;secondary;unknown;no;517;0
46;blue-collar;married;secondary;unknown;no;265;0
53;housemaid;divorced;primary;unknown;no;947;0
34;self-employed;single;secondary;unknown;no;3;0
57;unemployed;married;tertiary;unknown;no;42;0
37;blue-collar;married;secondary;unknown;no;37;0
59;blue-collar;married;secondary;unknown;no;57;0
33;services;married;secondary;unknown;no;22;0
56;blue-collar;divorced;primary;unknown;no;8;0
48;unemployed;married;secondary;unknown;no;293;0
43;services;married;primary;unknown;no;3;0
54;blue-collar;married;primary;unknown;no;348;0
51;blue-collar;married;unknown;unknown;no;-19;0
26;student;single;secondary;unknown;no;0;0
40;management;married;tertiary;unknown;no;-4;0
39;management;married;secondary;unknown;no;18;0
50;technician;married;primary;unknown;no;139;0
41;services;married;secondary;unknown;no;0;0
51;blue-collar;married;unknown;unknown;no;1883;3
60;retired;divorced;secondary;unknown;no;216;0
52;blue-collar;married;secondary;unknown;no;782;0
48;blue-collar;married;secondary;unknown;no;904;0
48;services;married;unknown;unknown;no;1705;0
39;technician;single;tertiary;unknown;no;47;0
47;services;single;secondary;unknown;no;176;0
40;blue-collar;married;secondary;unknown;no;1225;0
45;technician;married;secondary;unknown;no;86;0
26;admin.;single;secondary;unknown;no;82;0
52;management;married;tertiary;unknown;no;271;0
54;technician;married;secondary;unknown;no;1378;0
54;admin.;married;tertiary;unknown;yes;184;0
50;blue-collar;married;primary;unknown;no;0;0
35;blue-collar;married;secondary;unknown;no;0;0
44;services;married;secondary;unknown;no;1357;0
53;entrepreneur;married;unknown;unknown;no;19;0
35;retired;single;primary;unknown;no;434;0
60;admin.;divorced;secondary;unknown;no;92;0
53;admin.;divorced;secondary;unknown;no;1151;0
48;unemployed;married;secondary;unknown;no;41;0
34;technician;married;secondary;unknown;no;51;0
54;services;married;secondary;unknown;no;214;0
51;management;married;secondary;unknown;no;1161;0
31;services;married;tertiary;unknown;no;37;0
35;technician;divorced;secondary;unknown;no;787;0
35;services;married;secondary;unknown;no;59;0
38;technician;married;secondary;unknown;no;253;0
36;admin.;married;tertiary;unknown;no;211;0
58;retired;married;primary;unknown;no;235;0
40;services;divorced;unknown;unknown;no;4384;3
54;management;married;secondary;unknown;no;4080;3
34;blue-collar;single;secondary;unknown;no;53;0
31;management;single;tertiary;unknown;no;0;0
51;retired;married;secondary;unknown;no;2127;3
33;management;married;tertiary;unknown;no;377;0
55;management;married;tertiary;unknown;no;73;0
42;admin.;married;secondary;unknown;no;445;0
34;blue-collar;married;secondary;unknown;no;243;0
33;blue-collar;single;secondary;unknown;no;307;0
38;services;married;secondary;unknown;no;155;0
50;technician;divorced;tertiary;unknown;no;173;0
43;management;married;tertiary;unknown;no;400;0
61;blue-collar;divorced;primary;unknown;no;1428;0
47;admin.;married;secondary;unknown;no;219;0
48;self-employed;married;tertiary;unknown;no;7;0
44;blue-collar;married;secondary;unknown;no;575;0
35;student;single;unknown;unknown;no;298;0
35;services;married;secondary;unknown;no;0;0
50;services;married;secondary;unknown;no;5699;3
41;management;married;tertiary;unknown;no;176;0
41;management;married;tertiary;unknown;no;517;0
39;services;single;unknown;unknown;no;257;0
42;retired;married;secondary;unknown;no;56;0
38;blue-collar;married;secondary;unknown;no;-390;0
53;retired;married;secondary;unknown;no;330;0
59;housemaid;divorced;primary;unknown;no;195;0
36;services;married;secondary;unknown;no;301;0
54;blue-collar;married;primary;unknown;no;-41;0
40;technician;married;tertiary;unknown;no;483;0
47;unknown;married;unknown;unknown;no;28;0
53;unemployed;married;unknown;unknown;no;13;0
46;housemaid;married;primary;unknown;no;965;0
39;management;married;tertiary;unknown;no;378;0
40;unemployed;married;secondary;unknown;no;219;0
28;blue-collar;married;primary;unknown;no;324;0
35;entrepreneur;divorced;secondary;unknown;no;-69;0
55;retired;married;secondary;unknown;no;0;0
43;technician;divorced;unknown;unknown;no;205;0
48;blue-collar;married;primary;unknown;no;278;0
58;management;married;unknown;unknown;no;1065;0
33;management;single;tertiary;unknown;no;34;0
36;blue-collar;married;unknown;unknown;no;1033;0
53;services;divorced;secondary;unknown;no;1467;0
47;blue-collar;married;primary;unknown;no;-12;0
31;services;married;secondary;unknown;no;388;0
57;entrepreneur;married;secondary;unknown;no;294;0
53;blue-collar;married;unknown;unknown;no;1827;0
55;blue-collar;married;primary;unknown;no;627;0
45;blue-collar;married;primary;unknown;no;25;0
53;admin.;divorced;secondary;unknown;no;315;0
37;blue-collar;married;primary;unknown;no;0;0
44;admin.;divorced;secondary;unknown;no;66;0
49;blue-collar;divorced;primary;unknown;no;-9;0
46;technician;married;secondary;unknown;no;349;0
43;entrepreneur;married;unknown;unknown;no;100;0
38;admin.;married;secondary;unknown;no;0;0
43;technician;married;secondary;unknown;no;434;0
49;management;married;tertiary;unknown;no;3237;3
42;management;married;unknown;unknown;no;275;0
22;blue-collar;single;secondary;unknown;no;0;0
40;management;married;tertiary;unknown;no;207;0
39;blue-collar;married;secondary;unknown;no;483;0
51;services;married;secondary;unknown;no;2248;3
49;admin.;married;secondary;unknown;no;428;0
53;blue-collar;married;secondary;unknown;no;0;0
34;services;single;secondary;unknown;no;0;0
33;technician;divorced;secondary;unknown;no;140;0
50;management;single;tertiary;unknown;no;297;0
39;blue-collar;married;primary;unknown;no;279;0
59;entrepreneur;divorced;secondary;unknown;no;901;0
30;technician;single;secondary;unknown;no;2573;3
36;services;married;secondary;unknown;no;143;0
40;blue-collar;married;secondary;unknown;no;475;0
53;blue-collar;married;secondary;unknown;no;70;0
34;management;single;tertiary;unknown;no;318;0
37;technician;married;secondary;unknown;no;275;0
42;management;divorced;tertiary;unknown;no;742;0
41;entrepreneur;married;primary;unknown;no;236;0
30;student;single;tertiary;unknown;no;25;0
37;management;single;tertiary;unknown;no;600;0
39;admin.;divorced;secondary;unknown;no;-349;0
41;blue-collar;married;primary;unknown;no;183;0
40;blue-collar;married;primary;unknown;no;0;0
42;management;single;tertiary;unknown;yes;0;0
40;blue-collar;divorced;primary;unknown;no;0;0
57;technician;married;secondary;unknown;no;1078;0
56;entrepreneur;divorced;secondary;unknown;no;155;0
37;admin.;married;secondary;unknown;no;190;0
59;retired;married;secondary;unknown;no;319;0
39;services;divorced;secondary;unknown;no;-185;0
49;services;married;secondary;unknown;no;47;0
38;services;single;secondary;unknown;no;570;0
36;self-employed;married;tertiary;unknown;no;19;0
50;blue-collar;married;primary;unknown;no;61;0
41;admin.;married;secondary;unknown;no;-62;0
54;technician;married;tertiary;unknown;no;258;0
58;blue-collar;married;primary;unknown;no;76;0
30;blue-collar;single;secondary;unknown;no;0;0
33;admin.;single;secondary;unknown;no;352;0
47;admin.;married;secondary;unknown;no;368;0
50;technician;single;tertiary;unknown;no;339;0
32;blue-collar;married;secondary;unknown;no;1331;0
40;self-employed;married;secondary;unknown;no;672;0
37;management;married;tertiary;unknown;no;58;0
54;technician;single;unknown;unknown;no;447;0
24;student;single;secondary;unknown;no;423;0
54;management;married;tertiary;unknown;no;0;0
34;technician;married;secondary;unknown;no;19;0
56;technician;divorced;primary;unknown;no;13;0
31;blue-collar;single;secondary;unknown;no;3;0
24;student;single;secondary;unknown;no;82;0
42;blue-collar;divorced;primary;unknown;no;28;0
57;technician;married;secondary;unknown;no;792;0
42;blue-collar;married;unknown;unknown;no;408;0
51;admin.;married;secondary;unknown;no;531;0
57;retired;married;secondary;unknown;no;211;0
36;services;single;secondary;unknown;no;62;0
53;services;married;unknown;unknown;no;257;0
50;technician;married;secondary;unknown;no;1234;0
54;management;married;tertiary;unknown;no;313;0
55;blue-collar;married;secondary;unknown;no;89;0
44;blue-collar;married;secondary;unknown;no;129;0
43;management;married;unknown;unknown;no;0;0
56;admin.;married;secondary;unknown;no;353;0
54;technician;married;unknown;unknown;no;851;0
55;services;divorced;primary;unknown;no;96;0
37;services;divorced;secondary;unknown;no;398;0
33;admin.;single;tertiary;unknown;no;193;0
46;admin.;married;secondary;unknown;no;-358;0
36;blue-collar;married;secondary;unknown;no;539;0
51;technician;single;secondary;unknown;no;0;0
40;retired;single;primary;unknown;no;0;0
42;blue-collar;married;secondary;unknown;no;490;0
51;blue-collar;married;secondary;unknown;no;0;0
49;blue-collar;married;unknown;unknown;no;403;0
48;management;married;secondary;unknown;no;161;0
32;technician;divorced;tertiary;unknown;no;2558;3
31;admin.;single;secondary;unknown;no;98;0
55;management;single;tertiary;unknown;no;115;0
40;blue-collar;single;secondary;unknown;no;436;0
47;technician;married;tertiary;unknown;no;831;0
57;technician;married;unknown;unknown;no;206;0
41;blue-collar;married;secondary;unknown;no;290;0
48;blue-collar;married;secondary;unknown;no;1;0
42;blue-collar;married;unknown;unknown;no;57;0
30;blue-collar;single;secondary;unknown;no;-457;0
58;management;single;tertiary;unknown;no;1387;0
45;management;divorced;tertiary;unknown;no;24598;4
49;blue-collar;married;secondary;unknown;no;30;0
42;admin.;single;secondary;unknown;no;1022;0
53;technician;married;secondary;unknown;no;56;0
51;admin.;single;secondary;unknown;no;-2;0
32;services;single;secondary;unknown;no;121;0
41;blue-collar;single;secondary;unknown;no;842;0
43;management;divorced;secondary;unknown;no;693;0
40;blue-collar;divorced;secondary;unknown;no;-333;0
50;blue-collar;married;primary;unknown;no;1533;0
34;management;married;tertiary;unknown;no;46;0
53;services;married;unknown;unknown;no;18;0
45;technician;married;secondary;unknown;no;44;0
39;blue-collar;married;primary;unknown;no;-100;0
44;services;married;tertiary;unknown;no;510;0
55;management;married;tertiary;unknown;no;685;0
46;management;single;tertiary;unknown;no;187;0
45;blue-collar;married;secondary;unknown;no;66;0
34;admin.;married;secondary;unknown;no;560;0
36;blue-collar;married;secondary;unknown;no;0;0
59;unknown;divorced;unknown;unknown;no;27;0
31;admin.;single;secondary;unknown;no;12;0
44;blue-collar;single;secondary;unknown;no;34;0
33;entrepreneur;single;tertiary;unknown;no;1068;0
40;blue-collar;married;secondary;unknown;no;211;0
46;admin.;single;tertiary;unknown;no;377;0
48;management;married;tertiary;unknown;no;263;0
42;services;married;secondary;unknown;no;1263;0
27;services;married;secondary;unknown;no;8;0
48;admin.;married;secondary;unknown;no;126;0
59;admin.;married;secondary;unknown;no;230;0
46;technician;married;tertiary;unknown;no;841;0
38;admin.;divorced;secondary;unknown;no;308;0
43;management;divorced;tertiary;unknown;no;1;0
38;admin.;divorced;tertiary;unknown;no;86;0
23;student;single;secondary;unknown;no;157;0
34;services;married;secondary;unknown;no;22;0
38;admin.;married;secondary;unknown;no;46;0
37;blue-collar;married;secondary;unknown;no;1293;0
25;admin.;single;secondary;unknown;no;122;0
48;blue-collar;married;unknown;unknown;no;131;0
49;blue-collar;single;secondary;unknown;no;143;0
38;admin.;single;secondary;unknown;no;393;0
43;blue-collar;married;primary;unknown;no;98;0
33;management;married;tertiary;unknown;no;0;0
55;blue-collar;married;secondary;unknown;no;224;0
38;blue-collar;married;secondary;unknown;no;757;0
49;services;married;secondary;unknown;no;245;0
40;management;married;secondary;unknown;no;8486;1
43;admin.;married;unknown;unknown;no;350;0
38;blue-collar;married;secondary;unknown;no;20;0
58;services;married;secondary;unknown;no;1667;0
57;technician;married;unknown;unknown;no;345;0
32;unemployed;married;secondary;unknown;no;10;0
56;management;married;tertiary;unknown;yes;830;0
58;blue-collar;divorced;unknown;unknown;no;29;0
60;retired;divorced;secondary;unknown;yes;545;0
37;technician;married;tertiary;unknown;no;8730;1
46;technician;divorced;tertiary;unknown;no;477;0
27;admin.;married;secondary;unknown;no;4;0
43;blue-collar;married;secondary;unknown;no;1205;0
32;technician;single;secondary;unknown;no;0;0
40;admin.;single;secondary;unknown;no;263;0
38;admin.;married;secondary;unknown;no;1;0
34;blue-collar;married;secondary;unknown;no;283;0
47;blue-collar;married;primary;unknown;no;206;0
42;housemaid;married;primary;unknown;no;17;0
48;technician;married;secondary;unknown;no;141;0
29;self-employed;single;tertiary;unknown;no;16;0
50;services;married;secondary;unknown;no;206;0
52;technician;married;unknown;unknown;no;7;0
50;management;married;tertiary;unknown;no;0;0
58;retired;married;tertiary;unknown;no;0;0
46;blue-collar;divorced;primary;unknown;no;1927;3
38;technician;married;secondary;unknown;no;284;0
46;blue-collar;married;secondary;unknown;no;1660;0
32;services;single;secondary;unknown;no;406;0
51;blue-collar;married;primary;unknown;no;230;0
39;admin.;single;secondary;unknown;no;-25;0
48;admin.;married;secondary;unknown;no;182;0
36;entrepreneur;married;tertiary;unknown;no;1169;0
34;admin.;divorced;secondary;unknown;no;67;0
40;technician;married;secondary;unknown;no;77;0
43;unemployed;married;secondary;unknown;no;0;0
52;blue-collar;divorced;primary;unknown;no;55;0
33;technician;married;secondary;unknown;no;72;0
49;management;single;tertiary;unknown;no;163;0
32;management;single;tertiary;unknown;no;151;0
39;admin.;single;secondary;unknown;no;113;0
40;blue-collar;married;secondary;unknown;no;0;0
38;technician;single;tertiary;unknown;no;9;0
43;management;married;secondary;unknown;no;375;0
39;services;married;secondary;unknown;no;1142;0
54;blue-collar;married;primary;unknown;no;2102;3
38;technician;single;tertiary;unknown;no;4325;3
40;blue-collar;married;secondary;unknown;no;217;0
55;admin.;married;secondary;unknown;no;131;0
42;management;married;tertiary;unknown;no;1680;0
39;blue-collar;married;secondary;unknown;no;0;0
40;blue-collar;married;primary;unknown;no;46;0
32;blue-collar;married;secondary;unknown;no;320;0
55;admin.;married;secondary;unknown;no;183;0
45;blue-collar;married;secondary;unknown;no;39;0
35;management;single;tertiary;unknown;no;560;0
58;technician;divorced;secondary;unknown;no;469;0
35;admin.;married;secondary;unknown;no;530;0
49;services;married;primary;unknown;no;61;0
34;technician;single;tertiary;unknown;no;242;0
36;blue-collar;married;secondary;unknown;no;139;0
24;self-employed;single;secondary;unknown;no;0;0
34;technician;married;secondary;unknown;no;367;0
51;admin.;divorced;secondary;unknown;no;228;0
39;technician;single;unknown;unknown;yes;45248;2
50;self-employed;married;unknown;unknown;no;-84;0
32;services;single;secondary;unknown;no;310;0
42;blue-collar;married;unknown;unknown;no;132;0
50;technician;married;secondary;unknown;no;797;0
40;services;married;secondary;unknown;no;71;0
46;management;divorced;unknown;unknown;no;2;0
37;management;married;tertiary;unknown;no;231;0
34;blue-collar;married;secondary;unknown;no;270;0
44;blue-collar;married;secondary;unknown;no;274;0
40;admin.;single;secondary;unknown;no;-109;0
37;technician;married;secondary;unknown;yes;1;0
33;blue-collar;single;secondary;unknown;no;-60;0
35;blue-collar;married;secondary;unknown;no;89;0
58;blue-collar;divorced;secondary;unknown;no;-11;0
39;blue-collar;married;primary;unknown;no;0;0
43;blue-collar;married;secondary;unknown;no;-509;0
39;unemployed;married;primary;unknown;no;408;0
36;services;single;primary;unknown;no;58;0
57;retired;single;secondary;unknown;no;1640;0
36;admin.;single;secondary;unknown;no;20;0
50;blue-collar;married;primary;unknown;no;71;0
55;blue-collar;married;secondary;unknown;no;52;0
44;self-employed;married;tertiary;unknown;no;292;0
44;services;divorced;secondary;unknown;no;424;0
39;housemaid;single;primary;unknown;no;109;0
46;blue-collar;married;unknown;unknown;no;1044;0
39;blue-collar;married;secondary;unknown;no;983;0
34;admin.;married;secondary;unknown;yes;869;0
40;blue-collar;married;primary;unknown;no;668;0
50;management;married;tertiary;unknown;no;964;0
31;management;single;secondary;unknown;no;301;0
37;admin.;single;secondary;unknown;no;140;0
39;management;single;secondary;unknown;no;1877;3
51;blue-collar;married;primary;unknown;no;1127;0
41;technician;married;secondary;unknown;no;871;0
41;technician;married;secondary;unknown;no;767;0
43;blue-collar;married;secondary;unknown;no;0;0
30;services;single;secondary;unknown;no;209;0
54;management;divorced;primary;unknown;no;0;0
43;blue-collar;divorced;secondary;unknown;no;110;0
59;management;divorced;tertiary;unknown;no;-76;0
47;technician;married;unknown;unknown;no;178;0
40;blue-collar;married;primary;unknown;no;-66;0
32;technician;married;secondary;unknown;no;0;0
29;blue-collar;married;secondary;unknown;no;1;0
36;blue-collar;married;secondary;unknown;no;0;0
55;unemployed;married;tertiary;unknown;no;5345;3
30;blue-collar;divorced;secondary;unknown;no;-209;0
39;admin.;single;secondary;unknown;no;0;0
39;blue-collar;divorced;secondary;unknown;no;42;0
50;blue-collar;divorced;secondary;unknown;no;41;0
44;blue-collar;married;secondary;unknown;no;-99;0
37;technician;single;secondary;unknown;no;17;0
46;admin.;married;primary;unknown;no;276;0
32;technician;single;unknown;unknown;no;-170;0
37;management;single;tertiary;unknown;no;230;0
29;blue-collar;married;secondary;unknown;no;9;0
41;blue-collar;married;secondary;unknown;no;946;0
45;blue-collar;married;primary;unknown;no;1297;0
57;retired;divorced;secondary;unknown;no;-331;0
48;blue-collar;single;secondary;unknown;no;44;0
60;retired;married;secondary;unknown;no;15;0
26;admin.;single;secondary;unknown;no;712;0
58;retired;married;secondary;unknown;no;5435;3
34;admin.;married;secondary;unknown;no;507;0
55;unemployed;divorced;secondary;unknown;yes;387;0
41;blue-collar;married;primary;unknown;no;0;0
50;management;divorced;secondary;unknown;no;1716;0
49;entrepreneur;married;secondary;unknown;no;167;0
44;admin.;married;unknown;unknown;no;40;0
44;blue-collar;married;primary;unknown;no;148;0
31;technician;married;secondary;unknown;no;17;0
34;blue-collar;single;tertiary;unknown;no;1011;0
46;management;single;unknown;unknown;no;1527;0
42;management;married;tertiary;unknown;no;744;0
52;admin.;married;secondary;unknown;no;484;0
29;management;single;tertiary;unknown;no;0;0
53;retired;married;primary;unknown;no;136;0
43;blue-collar;married;secondary;unknown;no;1335;0
38;management;married;secondary;unknown;no;517;0
46;management;married;tertiary;unknown;no;459;0
48;management;divorced;unknown;unknown;no;549;0
30;admin.;divorced;secondary;unknown;no;83;0
44;blue-collar;married;primary;unknown;no;213;0
31;housemaid;married;primary;unknown;no;203;0
42;services;single;secondary;unknown;no;518;0
40;management;single;tertiary;unknown;no;3877;3
52;admin.;married;secondary;unknown;no;1236;0
45;blue-collar;divorced;secondary;unknown;no;756;0
48;blue-collar;married;secondary;unknown;no;157;0
45;blue-collar;married;primary;unknown;no;-66;0
34;blue-collar;married;unknown;unknown;no;245;0
34;blue-collar;married;primary;unknown;no;-144;0
46;blue-collar;married;secondary;unknown;no;71;0
49;services;divorced;secondary;unknown;no;505;0
50;technician;married;primary;unknown;no;249;0
34;admin.;single;secondary;unknown;no;0;0
40;unemployed;single;secondary;unknown;no;11;0
36;admin.;married;secondary;unknown;no;639;0
59;blue-collar;divorced;unknown;unknown;no;124;0
45;blue-collar;married;secondary;unknown;no;82;0
36;self-employed;married;tertiary;unknown;no;107;0
56;services;married;secondary;unknown;no;473;0
42;services;divorced;secondary;unknown;no;372;0
30;admin.;married;secondary;unknown;no;46;0
30;student;single;tertiary;unknown;no;34;0
47;self-employed;married;unknown;unknown;no;935;0
33;blue-collar;married;secondary;unknown;no;-10;0
36;admin.;married;secondary;unknown;no;-106;0
39;services;divorced;primary;unknown;no;471;0
56;admin.;divorced;secondary;unknown;no;778;0
39;blue-collar;divorced;unknown;unknown;no;170;0
42;technician;married;secondary;unknown;no;315;0
52;blue-collar;married;secondary;unknown;no;3165;3
36;admin.;divorced;secondary;unknown;no;131;0
35;entrepreneur;married;secondary;unknown;no;204;0
47;technician;married;secondary;unknown;no;83;0
59;services;divorced;secondary;unknown;no;0;0
57;blue-collar;married;primary;unknown;no;5431;3
38;management;married;unknown;unknown;no;1759;0
46;unemployed;married;secondary;unknown;no;-125;0
34;blue-collar;married;secondary;unknown;no;0;0
28;services;single;secondary;unknown;yes;5090;3
38;technician;married;unknown;unknown;no;573;0
56;blue-collar;married;secondary;unknown;no;1602;0
41;blue-collar;single;primary;unknown;no;-137;0
52;technician;married;unknown;unknown;no;0;0
54;services;married;secondary;unknown;no;193;0
61;retired;married;secondary;unknown;no;195;0
53;entrepreneur;married;secondary;unknown;no;288;0
47;technician;married;secondary;unknown;no;19;0
53;blue-collar;married;primary;unknown;no;25;0
46;services;married;secondary;unknown;no;216;0
39;blue-collar;divorced;primary;unknown;no;190;0
56;technician;divorced;secondary;unknown;no;99;0
55;services;divorced;primary;unknown;no;2298;3
44;management;married;tertiary;unknown;no;17;0
37;technician;married;primary;unknown;no;0;0
35;blue-collar;married;primary;unknown;no;0;0
55;blue-collar;married;secondary;unknown;no;840;0
37;services;married;secondary;unknown;no;358;0
30;technician;single;secondary;unknown;no;0;0
37;blue-collar;married;primary;unknown;no;-325;0
36;technician;single;secondary;unknown;no;-15;0
38;technician;married;secondary;unknown;no;581;0
41;admin.;divorced;primary;unknown;no;4070;3
48;retired;married;secondary;unknown;no;74;0
55;services;divorced;secondary;unknown;no;141;0
28;services;divorced;secondary;unknown;no;89;0
54;services;married;secondary;unknown;no;0;0
30;blue-collar;married;secondary;unknown;no;450;0
48;technician;married;tertiary;unknown;no;310;0
31;self-employed;married;secondary;unknown;no;0;0
38;blue-collar;married;secondary;unknown;no;384;0
37;blue-collar;married;secondary;unknown;no;395;0
37;services;single;unknown;unknown;no;-118;0
56;blue-collar;married;primary;unknown;no;5;0
51;blue-collar;married;secondary;unknown;no;50;0
39;blue-collar;married;secondary;unknown;no;285;0
49;technician;married;unknown;unknown;no;15;0
51;blue-collar;married;primary;unknown;no;653;0
43;self-employed;married;secondary;unknown;no;918;0
32;services;married;secondary;unknown;no;243;0
29;technician;single;tertiary;unknown;no;405;0
48;management;divorced;tertiary;unknown;no;1328;0
55;services;married;primary;unknown;no;255;0
53;blue-collar;married;secondary;unknown;no;3397;3
47;technician;married;unknown;unknown;no;2106;3
39;management;married;tertiary;unknown;no;2877;3
31;blue-collar;single;tertiary;unknown;no;60;0
39;blue-collar;married;primary;unknown;no;2226;3
